pic_name,detect,ground,new.match,miss.match,source
Giessen_WW_R1_P5101_G221_P2_3,70,47,23,0,Giessen_12_22_32.csv
Giessen_WW_R1_P5101_G221_P2_7,67,69,4,6,Giessen_12_22_32.csv
Giessen_WW_R1_P5102_G49_P2_4,63,125,1,63,Giessen_12_22_32.csv
Giessen_WW_R1_P5102_G49_P2_8,89,111,2,24,Giessen_12_22_32.csv
Giessen_WW_R1_P5103_G61_P4_1,53,53,7,7,Giessen_12_22_32.csv
Giessen_WW_R1_P5103_G61_P4_5,65,83,2,20,Giessen_12_22_32.csv
Giessen_WW_R1_P5104_G26_P1_2,52,54,7,9,Giessen_12_22_32.csv
Giessen_WW_R1_P5104_G26_P1_8,87,122,4,39,Giessen_12_22_32.csv
Giessen_WW_R1_P5105_G80_P2_1,38,37,2,1,Giessen_12_22_32.csv
Giessen_WW_R1_P5105_G80_P2_5,73,96,2,25,Giessen_12_22_32.csv
Giessen_WW_R1_P5106_G213_P1_1,52,52,10,10,Giessen_12_22_32.csv
Giessen_WW_R1_P5106_G213_P1_6,67,92,1,26,Giessen_12_22_32.csv
Giessen_WW_R1_P5107_G105_P5_3,65,96,8,39,Giessen_12_22_32.csv
Giessen_WW_R1_P5107_G105_P5_8,82,112,2,32,Giessen_12_22_32.csv
Giessen_WW_R1_P5108_G166_P3_1,56,69,6,19,Giessen_12_22_32.csv
Giessen_WW_R1_P5108_G166_P3_5,106,154,0,48,Giessen_12_22_32.csv
Giessen_WW_R1_P5109_G88_P5_2,51,66,2,17,Giessen_12_22_32.csv
Giessen_WW_R1_P5109_G88_P5_8,88,111,1,24,Giessen_12_22_32.csv
Giessen_WW_R1_P5110_G66_P1_2,40,78,7,45,Giessen_12_22_32.csv
Giessen_WW_R1_P5110_G66_P1_6,65,103,2,40,Giessen_12_22_32.csv
Giessen_WW_R1_P5112_G13_P1_1,44,61,3,20,Giessen_12_22_32.csv
Giessen_WW_R1_P5112_G13_P1_6,84,120,2,38,Giessen_12_22_32.csv
Giessen_WW_R1_P5113_G119_P2_3,42,41,4,3,Giessen_12_22_32.csv
Giessen_WW_R1_P5113_G119_P2_6,92,120,2,30,Giessen_12_22_32.csv
Giessen_WW_R1_P5114_G229_P2_2,54,57,3,6,Giessen_12_22_32.csv
Giessen_WW_R1_P5114_G229_P2_8,59,81,1,23,Giessen_12_22_32.csv
Giessen_WW_R1_P5115_G35_P2_1,30,46,2,18,Giessen_12_22_32.csv
Giessen_WW_R1_P5115_G35_P2_7,92,100,7,15,Giessen_12_22_32.csv
Giessen_WW_R1_P5116_G193_P3_2,37,45,5,13,Giessen_12_22_32.csv
Giessen_WW_R1_P5116_G193_P3_6,93,104,3,14,Giessen_12_22_32.csv
Giessen_WW_R1_P5117_G180_P3_3,49,45,12,8,Giessen_12_22_32.csv
Giessen_WW_R1_P5117_G180_P3_8,73,101,3,31,Giessen_12_22_32.csv
Giessen_WW_R1_P5118_G60_P2_4,44,63,8,27,Giessen_12_22_32.csv
Giessen_WW_R1_P5118_G60_P2_8,82,110,3,31,Giessen_12_22_32.csv
Giessen_WW_R1_P5119_G55_P3_4,48,64,8,24,Giessen_12_22_32.csv
Giessen_WW_R1_P5119_G55_P3_7,60,105,0,45,Giessen_12_22_32.csv
Giessen_WW_R1_P5120_G126_P2_2,55,55,9,9,Giessen_12_22_32.csv
Giessen_WW_R1_P5120_G126_P2_6,68,104,5,41,Giessen_12_22_32.csv
Giessen_WW_R1_P5121_G109_P3_1,48,48,13,13,Giessen_12_22_32.csv
Giessen_WW_R1_P5121_G109_P3_8,70,125,0,55,Giessen_12_22_32.csv
Giessen_WW_R1_P5122_G47_P5_3,44,51,7,14,Giessen_12_22_32.csv
Giessen_WW_R1_P5122_G47_P5_6,96,106,2,12,Giessen_12_22_32.csv
Giessen_WW_R1_P5124_G83_P2_4,45,56,12,23,Giessen_12_22_32.csv
Giessen_WW_R1_P5124_G83_P2_5,67,122,0,55,Giessen_12_22_32.csv
Giessen_WW_R1_P5125_G18_P3_4,32,39,7,14,Giessen_12_22_32.csv
Giessen_WW_R1_P5125_G18_P3_8,89,128,0,39,Giessen_12_22_32.csv
Giessen_WW_R1_P5126_G87_P4_3,47,41,9,3,Giessen_12_22_32.csv
Giessen_WW_R1_P5126_G87_P4_7,71,81,7,17,Giessen_12_22_32.csv
Giessen_WW_R2_P5165_G225_P3_2,59,49,13,3,Giessen_12_22_32.csv
Giessen_WW_R2_P5165_G225_P3_8,58,83,3,28,Giessen_12_22_32.csv
Giessen_WW_R2_P5166_G134_P3_1,79,46,35,2,Giessen_12_22_32.csv
Giessen_WW_R2_P5166_G134_P3_6,84,108,9,33,Giessen_12_22_32.csv
