pic_name,detect,ground,new.match,miss.match,source
Giessen_WW_R1_P5101_G221_P2_3,69,47,22,0,Giessen_22_32.csv
Giessen_WW_R1_P5101_G221_P2_7,63,69,1,7,Giessen_22_32.csv
Giessen_WW_R1_P5102_G49_P2_4,41,125,0,84,Giessen_22_32.csv
Giessen_WW_R1_P5102_G49_P2_8,82,111,2,31,Giessen_22_32.csv
Giessen_WW_R1_P5103_G61_P4_1,54,53,6,5,Giessen_22_32.csv
Giessen_WW_R1_P5103_G61_P4_5,64,83,1,20,Giessen_22_32.csv
Giessen_WW_R1_P5104_G26_P1_2,50,54,6,10,Giessen_22_32.csv
Giessen_WW_R1_P5104_G26_P1_8,75,122,2,49,Giessen_22_32.csv
Giessen_WW_R1_P5105_G80_P2_1,38,37,1,0,Giessen_22_32.csv
Giessen_WW_R1_P5105_G80_P2_5,84,96,2,14,Giessen_22_32.csv
Giessen_WW_R1_P5106_G213_P1_1,41,52,8,19,Giessen_22_32.csv
Giessen_WW_R1_P5106_G213_P1_6,63,92,0,29,Giessen_22_32.csv
Giessen_WW_R1_P5107_G105_P5_3,52,96,7,51,Giessen_22_32.csv
Giessen_WW_R1_P5107_G105_P5_8,79,112,0,33,Giessen_22_32.csv
Giessen_WW_R1_P5108_G166_P3_1,39,69,3,33,Giessen_22_32.csv
Giessen_WW_R1_P5108_G166_P3_5,104,154,0,50,Giessen_22_32.csv
Giessen_WW_R1_P5109_G88_P5_2,49,66,4,21,Giessen_22_32.csv
Giessen_WW_R1_P5109_G88_P5_8,84,111,1,28,Giessen_22_32.csv
Giessen_WW_R1_P5110_G66_P1_2,30,78,3,51,Giessen_22_32.csv
Giessen_WW_R1_P5110_G66_P1_6,61,103,1,43,Giessen_22_32.csv
Giessen_WW_R1_P5112_G13_P1_1,41,61,3,23,Giessen_22_32.csv
Giessen_WW_R1_P5112_G13_P1_6,84,120,2,38,Giessen_22_32.csv
Giessen_WW_R1_P5113_G119_P2_3,43,41,6,4,Giessen_22_32.csv
Giessen_WW_R1_P5113_G119_P2_6,92,120,0,28,Giessen_22_32.csv
Giessen_WW_R1_P5114_G229_P2_2,47,57,3,13,Giessen_22_32.csv
Giessen_WW_R1_P5114_G229_P2_8,60,81,1,22,Giessen_22_32.csv
Giessen_WW_R1_P5115_G35_P2_1,24,46,3,25,Giessen_22_32.csv
Giessen_WW_R1_P5115_G35_P2_7,87,100,6,19,Giessen_22_32.csv
Giessen_WW_R1_P5116_G193_P3_2,34,45,4,15,Giessen_22_32.csv
Giessen_WW_R1_P5116_G193_P3_6,84,104,1,21,Giessen_22_32.csv
Giessen_WW_R1_P5117_G180_P3_3,46,45,11,10,Giessen_22_32.csv
Giessen_WW_R1_P5117_G180_P3_8,77,101,3,27,Giessen_22_32.csv
Giessen_WW_R1_P5118_G60_P2_4,36,63,7,34,Giessen_22_32.csv
Giessen_WW_R1_P5118_G60_P2_8,78,110,3,35,Giessen_22_32.csv
Giessen_WW_R1_P5119_G55_P3_4,49,64,11,26,Giessen_22_32.csv
Giessen_WW_R1_P5119_G55_P3_7,57,105,0,48,Giessen_22_32.csv
Giessen_WW_R1_P5120_G126_P2_2,50,55,6,11,Giessen_22_32.csv
Giessen_WW_R1_P5120_G126_P2_6,69,104,5,40,Giessen_22_32.csv
Giessen_WW_R1_P5121_G109_P3_1,40,48,8,16,Giessen_22_32.csv
Giessen_WW_R1_P5121_G109_P3_8,74,125,0,51,Giessen_22_32.csv
Giessen_WW_R1_P5122_G47_P5_3,44,51,7,14,Giessen_22_32.csv
Giessen_WW_R1_P5122_G47_P5_6,94,106,1,13,Giessen_22_32.csv
Giessen_WW_R1_P5124_G83_P2_4,27,56,10,39,Giessen_22_32.csv
Giessen_WW_R1_P5124_G83_P2_5,76,122,1,47,Giessen_22_32.csv
Giessen_WW_R1_P5125_G18_P3_4,29,39,5,15,Giessen_22_32.csv
Giessen_WW_R1_P5125_G18_P3_8,80,128,0,48,Giessen_22_32.csv
Giessen_WW_R1_P5126_G87_P4_3,49,41,9,1,Giessen_22_32.csv
Giessen_WW_R1_P5126_G87_P4_7,71,81,5,15,Giessen_22_32.csv
Giessen_WW_R2_P5165_G225_P3_2,58,49,12,3,Giessen_22_32.csv
Giessen_WW_R2_P5165_G225_P3_8,55,83,2,30,Giessen_22_32.csv
Giessen_WW_R2_P5166_G134_P3_1,56,46,12,2,Giessen_22_32.csv
Giessen_WW_R2_P5166_G134_P3_6,76,108,3,35,Giessen_22_32.csv
